,date,developerResponse,review,rating,isEdited,userName,title
0,2024-03-31 22:22:08,"{'id': 42992501, 'body': ""We're sorry to hear that and would like to try and help. Please email us with details (phone number, link to this public comment and your reviewer name) at appstorefeedback@wellsfargo.com. Do not share anything private when emailing us, such as account numbers. -Roger"", 'modified': '2024-04-02T10:51:55Z'}","Things like ‘report your card lost or stolen’ and ‘replace your card’ after nothing your app can actually do. They will give you an 800 number to call, where they then try to force you into using the sentence “my voice is my password please verify me”. Big mistake! Don’t do that I have in the past and it locks you out of your account plus anyone with a voice cab impersonate you easy enough to trick their kindergarten-level-security-system. Next, Good help you if it’s the weekend because they will make you talk to people for hope until they tell you claims department is closed on Saturdays and Sundays so ordering a new card, disputing a charge or unlocking you’re card won’t happen until Monday-Friday (regular business hours; probably closes at va 5pm, can’t recall). So don’t este your time, they are all good at pretending to help then after half an hour or more, tell. You thru can’t help. And they get all confused and offended if you breathe. I’m thinking about changing my bank but I’ve only had this account open for a week and I’m already having so many debit card issues. Last Thursday or Friday I disputed two .97 cent charges from Facebook and they said they’d have to shoot my entire card down which I had for several days, I see today a new charge went thru and I’m wondering why why the card supposedly was cancelled indefinitely last week! So these liars wasted my time in the phone and during this review!",5,False,AceOfBaseLoL,Has options that are unusable
1,2020-01-18 21:09:17,,"The Wells Fargo app is a very good one - you can nickname accounts (even ones from Greenhouse by Wells Fargo), send and request money via Zelle in-app, and add external accounts and initiate transfers from the app. The colors are nice and vibrant, and the iconic stage coach graphics are nice. There are some minor quirks, of course; certain options are given names instead of using the description (i.e. card lock/unlock is under “Control Tower”), so it can be a bit difficult to find certain options or features, at least when you haven’t used the app in a while. Some suggestions for the app - incorporating pictures of bank cards (debit and credit) within the app would be a neat visual; being able to rearrange your accounts within the app (like Chase and Capital One) would be awesome; and maybe some trivia in the app would be nice, including historical trivia about Wells Fargo bank, being one of the oldest banks around (US). When clicking/tapping on the last four digits of accounts numbers to see the whole thing, seeing the routing number would be awesome, so you know are what it is, and being able to copy it to the device’s “clipboard” would be awesome. And finally, being able to view product information would be really nice; ie. view information for checking/savings accounts, as well as credit cards & certificate accounts too.  Hopefully some of these things could be implemented in the near future.",5,False,whitewolf361,"Very Nice App, Minor Quirks"
2,2022-11-10 01:42:47,"{'id': 33113457, 'body': ""We're sorry to hear that and would like to try and help. Please email us with details (phone number, link to this public comment and your reviewer name) at appstorefeedback@wellsfargo.com. Do not share anything private when emailing us, such as account numbers. -Becky"", 'modified': '2022-11-11T18:10:03Z'}","I’ve been a customer for several years now and have used their mobile nearly since opening my accounts. Yet their app has really only been good for basic functions such as checking balances or making simple deposits, withdrawals, or payments. The app itself has always lacked an intuitive interface. It’s always been confusing finding several functions, or straight up lacking, like searching for old transactions. It took them years for you to simply view your bank statements other than logging in on a desktop or even viewing your own account numbers or routing numbers. 

The biggest glaring, missing feature is a useful budgeting/spending tool. Recently a monthly spending report has been added, albeit within layers of unclear tabs and options. This spending report is pretty useless. I’m guessing it categorizes transactions based on the institution classification that the charge went to, and then shows an overall amount spent on that category. It doesn’t show you the transactions in question so you don’t know what you spent on which could help in managing your spending in the future. Bank of America has a great budget/spending tool that clearly shows what you’ve spent on and not just dumping everything into general categories. As a long time customer I would like to see something like this added. Pretty soon the lackluster services provided by Wells Fargo will soon outweigh the hassle of transferring accounts to another bank.",3,False,2a2o,"Overall meh, still lacking useful features."
3,2023-06-26 20:48:48,"{'id': 37367852, 'body': ""We're sorry to hear that and would like to try and help. Please email us with details (phone number, link to this public comment and your reviewer name) at appstorefeedback@wellsfargo.com. Do not share anything private when emailing us, such as account numbers. Also, put Apple Review in the subject line of the email and/or provide a link to your Apple App Store review. -Ludwicke"", 'modified': '2023-06-27T23:51:23Z'}","Wells Fargo has been banking services to consumers since the 1800s so it’s no surprise to see them prevalent today in the banking industry. They have kept up with technology and utilized it in a very user friendly interface for its consumers. The online bill pay option is amazing and saves thousands of dollars each year alone, in shipping costs. It also allows users to transfer money through accounts and in using Zelle, for free! So, although they have excelled in their online presence for their customers, their chain stores/branches, have lacked the proper customer service since 2020. Which brings me to my next point. After the 2008 Crash, Wells Fargo Bank tried to recuperate itself and its constituents and associates to reinstitute itself as a leading lender, banker and financial distributor to the public. Unfortunately, the persoanl customer service in branch has depleted and is very hard to get an appointment to speak to any banker or even manager for that matter. It’s difficult to conduct proper business banking protocols without having that freedom to speak to a human being at any given time during working hours. I only give Wells Fargo 3 stars for this matter. Also, on the app, how about reminding customer to go paperless every other month or every month at least once instead of every-single-time- you log in? Very annoying.",5,False,ToSailWithLuv,Good App so far…
4,2019-09-17 20:18:53,,"I’m very app challenged, especially with the Wells Fargo app on my phone on how to do a bill pay. Patty has helped me on several different things including the bill pay and she made it as easy as tying your shoes. She has been “our” favorite banker for a very long time and I made sure my son went to her, my Pops is the one who said to try Wells Fargo and so now allot of our family go to Wells Fargo. I will be totally and completely honest, there have been some cashiers or bank tellers that were not even close to being as helpful or as welcoming as Patty has always been but she is so good she makes up for there short comings!!!!! Thank you for allowing us to have her in the little town we are in. She has taken a personal touch to some of the terrible things that I have gone through and made them
A lot easier by giving advice or a easy tutorial in how to use the APP that I was glad I could even take pictures. I Sincerely from the bottom of my heart I thank her and Wells Fargo for helping my kinda of people!!! Andrew was another great guy! He helped my son when he was under age about how to go about this money that he was getting from an accident when he was 18. He definitely helped me as a single mom how to make sure he doesn’t blow it all and so forth. GREAT EMPLOYEES FOR BOTH!!! THANK YOU FOR BEING THAT TYPE OF BANK/ BUSINESS WHEN I NEEDED IT RHE MOST!",5,False,Patti's 1# Fan!!👆🏻,The Patti Effect
5,2019-07-12 03:41:04,,"It is convenient to use it. I can do mobile deposit for my paycheck. But draw back is it is very easy to deposit the check to the wrong account since I have one business account and one personal account. Today I log in to my accounts and click on the Business Account, then press the check deposit, After I finished the deposit the screen went back to personal account then I realized the check went to the wrong account. I went through the operation one more time, then noticed the after press the check deposit button, the screen has a place that I need to select which account the check goes to, otherwise it will go to the default account of personal account. Tomorrow I will need to go to ATM or bank to do the deposit, that defeats the purpose of mobile deposits.

The other drawback is the monthly limit for mobile check deposit too low. I have have paychecks once every two weeks, I have to deposit my second check to my other bank account due to the limit. The 3rd drawback is the account transactions. The withdraw and deposit amount not quite easily distinguishable. I wish the withdrawals can have negative sign at the front just like the deposit with positive sign.",5,False,Explorer-dora,Need to improve on the mobile check deposit
6,2022-05-13 13:17:25,"{'id': 29775470, 'body': 'Hi there, thanks for providing this feedback. We will be sure to share it with the Mobile team as they do appreciate insight on your mobile experience. For additional assistance, please call 1-800-956-4442. Thanks again. -Tania\r\n ', 'modified': '2022-05-16T14:14:09Z'}","for the life of me I just don’t understand why developers change apps ?? Instead of asking the people that have the assets deposited in your bank, what they think you just think that your way is the better way and unfortunately I being a customer and having my assets in your bank do not like the new look changes. while the app has cleaned itself up it also removed vital key components that really don’t make any sense to why they were removed. what I hate the most about this app is that there is no way to view how much you have spent in one day but if I go online with a computer I can see what I spent that day using my debit card but on the mobile app you can’t see that and that is just dumb there is no reason why that had to be removed it just doesn’t make sense !! My other problem is that when it’s 1 o’clock in the morning and I’m laying in bed and I’m doing my banking I’m blinded by the screen because this app still don’t have a dark mode on it can we get with the times it’s 2022 not 2009, Again don't listen to your users we’ve only been asking for a dark mode for years 🙄 stop making changes and removing useful information and listen to the people that make you money !!!",5,False,Roadjockey,Why change it if its not broken !!
7,2022-06-17 02:24:04,"{'id': 30482120, 'body': 'I do realize how frustrating that can be. Please email us with details (phone number, link to this public comment and your reviewer name) at appstorefeedback@wellsfargo.com. Do not share anything private when emailing us, such as account numbers. -Tyler', 'modified': '2022-06-21T15:36:13Z'}","Just wrote a huge check and thought it was OK because I would be getting two more checks this afternoon of course the app is down and I can’t make a deposit so I tried to make let SOMEONE with online banking know about the problems with the app. After trying several times to authenticate my voice as my password the stupid phone system didn’t recognize my voice and finally let me move on only to tell me no one’s available and let me know that they’re going to disconnect the call. Please, please Wells Fargo, do better!! If anyone with Wells Fargo actually reads these reviews, which I highly doubt, please hire more people. When I’m having a problem with your app and call your online banking number, I do not want to be stuck in a merry go round of you trying to get me to record a voice authentication I want help with my problem. I want a representative. I want to live human to let you know there is a problem with your app!! Whoever had the idiotic idea to interrupt every single caller with a demand that they record their voice should be FIRED!!! People call you for help. Not to enroll in voice verification.",5,False,lucy loves this game,PLEASE HIRE BETTER TECH PEOPLE!!!!
8,2022-01-18 11:15:43,"{'id': 27547542, 'body': ""We'd like to help. To determine what may be occurring with your account, please contact technical support at 1-800-956-4442 so they can look into this. -Anthony"", 'modified': '2022-01-20T02:36:57Z'}","The over all app is great….. It’s easy to use, gives lots of options immediately displayed so you don’t have to search for things, and it’s easy to switch between accounts (if you have multiple ones)….. However, the biggest issue and constant annoyance with this app is that every single time you log in it wants you to update your personal information. It doesn’t matter if you update this information or not as it always pops up asking you to update it again. This is very frustrating when needing to access the account quickly. Also you have to be sure you are constantly balancing your account because the app doesn’t update most debit swipes or things paid with your debit card over the weekends so all of the sudden after the weekend everything comes through at once. If you are not keeping track of every banking transaction then you may think you have more money than you actually do which then might end up overdrawing your account. Not sure if this is the same for online banking as I don’t use that but to me a bank should have things like this immediately listed as pending/posted in the transaction history and reflect on your overall availability right away. If they could fix these issues then this app would be one of the best banking apps out there.",3,False,CChamberlain4444,Like the app with a couple exceptions….
9,2023-09-19 00:19:27,"{'id': 36914606, 'body': ""We'd like to help. To determine what may be occurring with your account, please contact technical support at 1-800-956-4442 so they can look into this. -Ian"", 'modified': '2023-06-05T00:32:33Z'}","I wish companies would consider not rolling out an update to their apps every month just to release an update.  I can only imagine the cost of these pointless updates.  The most recent one removed functionality for their Bill Pay feature.  We used to be able to enter payment amounts for all our bills before confirming payment then issuing the “pay now” once for all the bills.  The advantage of this was you could get a running total of all the bills you were paying and then note all the confirmation numbers for each bill at once, OR print the confirmation showing these bills all having been paid at once.  Now you must pay and confirm each bill one at a time.  Takes much longer.  Also, the confirmation screen showing the confirmation number and date paid shows most of the pertinent information in teeny tiny print.  Like 10x smaller than the amount paid.  Huge amount of white space (and I’m on an iPad mini); no need to make the font so tiny.  This was supposed to be a new and improved Wells Fargo app for the iPad, but it’s a bust as far as I can tell. Good news is these guys update their app every friggin month, so maybe someone will read this and make some “continuous improvements”. (PS, app feedback within your app would avoid a user having to resort to writing a public review in the App Store).",2,True,SunDevil86,Recent Changes Removed Functionality
