,Unnamed: 0,date,developerResponse,review,rating,isEdited,userName,title,cleaned_review
1,1,2020-01-18 21:09:17,,"The Wells Fargo app is a very good one - you can nickname accounts (even ones from Greenhouse by Wells Fargo), send and request money via Zelle in-app, and add external accounts and initiate transfers from the app. The colors are nice and vibrant, and the iconic stage coach graphics are nice. There are some minor quirks, of course; certain options are given names instead of using the description (i.e. card lock/unlock is under “Control Tower”), so it can be a bit difficult to find certain options or features, at least when you haven’t used the app in a while. Some suggestions for the app - incorporating pictures of bank cards (debit and credit) within the app would be a neat visual; being able to rearrange your accounts within the app (like Chase and Capital One) would be awesome; and maybe some trivia in the app would be nice, including historical trivia about Wells Fargo bank, being one of the oldest banks around (US). When clicking/tapping on the last four digits of accounts numbers to see the whole thing, seeing the routing number would be awesome, so you know are what it is, and being able to copy it to the device’s “clipboard” would be awesome. And finally, being able to view product information would be really nice; ie. view information for checking/savings accounts, as well as credit cards & certificate accounts too.  Hopefully some of these things could be implemented in the near future.",5,False,whitewolf361,"Very Nice App, Minor Quirks",the wells fargo app is a very good one  you can nickname accounts even ones from greenhouse by wells fargo send and request money via zelle inapp and add external accounts and initiate transfers from the app the colors are nice and vibrant and the iconic stage coach graphics are nice there are some minor quirks of course certain options are given names instead of using the description ie card lockunlock is under control tower so it can be a bit difficult to find certain options or features at least when you havent used the app in a while some suggestions for the app  incorporating pictures of bank cards debit and credit within the app would be a neat visual being able to rearrange your accounts within the app like chase and capital one would be awesome and maybe some trivia in the app would be nice including historical trivia about wells fargo bank being one of the oldest banks around us when clickingtapping on the last four digits of accounts numbers to see the whole thing seeing the routing number would be awesome so you know are what it is and being able to copy it to the devices clipboard would be awesome and finally being able to view product information would be really nice ie view information for checkingsavings accounts as well as credit cards  certificate accounts too  hopefully some of these things could be implemented in the near future
2,2,2022-11-10 01:42:47,"{'id': 33113457, 'body': ""We're sorry to hear that and would like to try and help. Please email us with details (phone number, link to this public comment and your reviewer name) at appstorefeedback@wellsfargo.com. Do not share anything private when emailing us, such as account numbers. -Becky"", 'modified': '2022-11-11T18:10:03Z'}","I’ve been a customer for several years now and have used their mobile nearly since opening my accounts. Yet their app has really only been good for basic functions such as checking balances or making simple deposits, withdrawals, or payments. The app itself has always lacked an intuitive interface. It’s always been confusing finding several functions, or straight up lacking, like searching for old transactions. It took them years for you to simply view your bank statements other than logging in on a desktop or even viewing your own account numbers or routing numbers. 

The biggest glaring, missing feature is a useful budgeting/spending tool. Recently a monthly spending report has been added, albeit within layers of unclear tabs and options. This spending report is pretty useless. I’m guessing it categorizes transactions based on the institution classification that the charge went to, and then shows an overall amount spent on that category. It doesn’t show you the transactions in question so you don’t know what you spent on which could help in managing your spending in the future. Bank of America has a great budget/spending tool that clearly shows what you’ve spent on and not just dumping everything into general categories. As a long time customer I would like to see something like this added. Pretty soon the lackluster services provided by Wells Fargo will soon outweigh the hassle of transferring accounts to another bank.",3,False,2a2o,"Overall meh, still lacking useful features.","ive been a customer for several years now and have used their mobile nearly since opening my accounts yet their app has really only been good for basic functions such as checking balances or making simple deposits withdrawals or payments the app itself has always lacked an intuitive interface its always been confusing finding several functions or straight up lacking like searching for old transactions it took them years for you to simply view your bank statements other than logging in on a desktop or even viewing your own account numbers or routing numbers 

the biggest glaring missing feature is a useful budgetingspending tool recently a monthly spending report has been added albeit within layers of unclear tabs and options this spending report is pretty useless im guessing it categorizes transactions based on the institution classification that the charge went to and then shows an overall amount spent on that category it doesnt show you the transactions in question so you dont know what you spent on which could help in managing your spending in the future bank of america has a great budgetspending tool that clearly shows what youve spent on and not just dumping everything into general categories as a long time customer i would like to see something like this added pretty soon the lackluster services provided by wells fargo will soon outweigh the hassle of transferring accounts to another bank"
4,4,2019-09-17 20:18:53,,"I’m very app challenged, especially with the Wells Fargo app on my phone on how to do a bill pay. Patty has helped me on several different things including the bill pay and she made it as easy as tying your shoes. She has been “our” favorite banker for a very long time and I made sure my son went to her, my Pops is the one who said to try Wells Fargo and so now allot of our family go to Wells Fargo. I will be totally and completely honest, there have been some cashiers or bank tellers that were not even close to being as helpful or as welcoming as Patty has always been but she is so good she makes up for there short comings!!!!! Thank you for allowing us to have her in the little town we are in. She has taken a personal touch to some of the terrible things that I have gone through and made them
A lot easier by giving advice or a easy tutorial in how to use the APP that I was glad I could even take pictures. I Sincerely from the bottom of my heart I thank her and Wells Fargo for helping my kinda of people!!! Andrew was another great guy! He helped my son when he was under age about how to go about this money that he was getting from an accident when he was 18. He definitely helped me as a single mom how to make sure he doesn’t blow it all and so forth. GREAT EMPLOYEES FOR BOTH!!! THANK YOU FOR BEING THAT TYPE OF BANK/ BUSINESS WHEN I NEEDED IT RHE MOST!",5,False,Patti's 1# Fan!!👆🏻,The Patti Effect,"im very app challenged especially with the wells fargo app on my phone on how to do a bill pay patty has helped me on several different things including the bill pay and she made it as easy as tying your shoes she has been our favorite banker for a very long time and i made sure my son went to her my pops is the one who said to try wells fargo and so now allot of our family go to wells fargo i will be totally and completely honest there have been some cashiers or bank tellers that were not even close to being as helpful or as welcoming as patty has always been but she is so good she makes up for there short comings thank you for allowing us to have her in the little town we are in she has taken a personal touch to some of the terrible things that i have gone through and made them
a lot easier by giving advice or a easy tutorial in how to use the app that i was glad i could even take pictures i sincerely from the bottom of my heart i thank her and wells fargo for helping my kinda of people andrew was another great guy he helped my son when he was under age about how to go about this money that he was getting from an accident when he was 18 he definitely helped me as a single mom how to make sure he doesnt blow it all and so forth great employees for both thank you for being that type of bank business when i needed it rhe most"
5,5,2019-07-12 03:41:04,,"It is convenient to use it. I can do mobile deposit for my paycheck. But draw back is it is very easy to deposit the check to the wrong account since I have one business account and one personal account. Today I log in to my accounts and click on the Business Account, then press the check deposit, After I finished the deposit the screen went back to personal account then I realized the check went to the wrong account. I went through the operation one more time, then noticed the after press the check deposit button, the screen has a place that I need to select which account the check goes to, otherwise it will go to the default account of personal account. Tomorrow I will need to go to ATM or bank to do the deposit, that defeats the purpose of mobile deposits.

The other drawback is the monthly limit for mobile check deposit too low. I have have paychecks once every two weeks, I have to deposit my second check to my other bank account due to the limit. The 3rd drawback is the account transactions. The withdraw and deposit amount not quite easily distinguishable. I wish the withdrawals can have negative sign at the front just like the deposit with positive sign.",5,False,Explorer-dora,Need to improve on the mobile check deposit,"it is convenient to use it i can do mobile deposit for my paycheck but draw back is it is very easy to deposit the check to the wrong account since i have one business account and one personal account today i log in to my accounts and click on the business account then press the check deposit after i finished the deposit the screen went back to personal account then i realized the check went to the wrong account i went through the operation one more time then noticed the after press the check deposit button the screen has a place that i need to select which account the check goes to otherwise it will go to the default account of personal account tomorrow i will need to go to atm or bank to do the deposit that defeats the purpose of mobile deposits

the other drawback is the monthly limit for mobile check deposit too low i have have paychecks once every two weeks i have to deposit my second check to my other bank account due to the limit the 3rd drawback is the account transactions the withdraw and deposit amount not quite easily distinguishable i wish the withdrawals can have negative sign at the front just like the deposit with positive sign"
7,7,2022-06-17 02:24:04,"{'id': 30482120, 'body': 'I do realize how frustrating that can be. Please email us with details (phone number, link to this public comment and your reviewer name) at appstorefeedback@wellsfargo.com. Do not share anything private when emailing us, such as account numbers. -Tyler', 'modified': '2022-06-21T15:36:13Z'}","Just wrote a huge check and thought it was OK because I would be getting two more checks this afternoon of course the app is down and I can’t make a deposit so I tried to make let SOMEONE with online banking know about the problems with the app. After trying several times to authenticate my voice as my password the stupid phone system didn’t recognize my voice and finally let me move on only to tell me no one’s available and let me know that they’re going to disconnect the call. Please, please Wells Fargo, do better!! If anyone with Wells Fargo actually reads these reviews, which I highly doubt, please hire more people. When I’m having a problem with your app and call your online banking number, I do not want to be stuck in a merry go round of you trying to get me to record a voice authentication I want help with my problem. I want a representative. I want to live human to let you know there is a problem with your app!! Whoever had the idiotic idea to interrupt every single caller with a demand that they record their voice should be FIRED!!! People call you for help. Not to enroll in voice verification.",5,False,lucy loves this game,PLEASE HIRE BETTER TECH PEOPLE!!!!,just wrote a huge check and thought it was ok because i would be getting two more checks this afternoon of course the app is down and i cant make a deposit so i tried to make let someone with online banking know about the problems with the app after trying several times to authenticate my voice as my password the stupid phone system didnt recognize my voice and finally let me move on only to tell me no ones available and let me know that theyre going to disconnect the call please please wells fargo do better if anyone with wells fargo actually reads these reviews which i highly doubt please hire more people when im having a problem with your app and call your online banking number i do not want to be stuck in a merry go round of you trying to get me to record a voice authentication i want help with my problem i want a representative i want to live human to let you know there is a problem with your app whoever had the idiotic idea to interrupt every single caller with a demand that they record their voice should be fired people call you for help not to enroll in voice verification
8,8,2022-01-18 11:15:43,"{'id': 27547542, 'body': ""We'd like to help. To determine what may be occurring with your account, please contact technical support at 1-800-956-4442 so they can look into this. -Anthony"", 'modified': '2022-01-20T02:36:57Z'}","The over all app is great….. It’s easy to use, gives lots of options immediately displayed so you don’t have to search for things, and it’s easy to switch between accounts (if you have multiple ones)….. However, the biggest issue and constant annoyance with this app is that every single time you log in it wants you to update your personal information. It doesn’t matter if you update this information or not as it always pops up asking you to update it again. This is very frustrating when needing to access the account quickly. Also you have to be sure you are constantly balancing your account because the app doesn’t update most debit swipes or things paid with your debit card over the weekends so all of the sudden after the weekend everything comes through at once. If you are not keeping track of every banking transaction then you may think you have more money than you actually do which then might end up overdrawing your account. Not sure if this is the same for online banking as I don’t use that but to me a bank should have things like this immediately listed as pending/posted in the transaction history and reflect on your overall availability right away. If they could fix these issues then this app would be one of the best banking apps out there.",3,False,CChamberlain4444,Like the app with a couple exceptions….,the over all app is great its easy to use gives lots of options immediately displayed so you dont have to search for things and its easy to switch between accounts if you have multiple ones however the biggest issue and constant annoyance with this app is that every single time you log in it wants you to update your personal information it doesnt matter if you update this information or not as it always pops up asking you to update it again this is very frustrating when needing to access the account quickly also you have to be sure you are constantly balancing your account because the app doesnt update most debit swipes or things paid with your debit card over the weekends so all of the sudden after the weekend everything comes through at once if you are not keeping track of every banking transaction then you may think you have more money than you actually do which then might end up overdrawing your account not sure if this is the same for online banking as i dont use that but to me a bank should have things like this immediately listed as pendingposted in the transaction history and reflect on your overall availability right away if they could fix these issues then this app would be one of the best banking apps out there
9,9,2023-09-19 00:19:27,"{'id': 36914606, 'body': ""We'd like to help. To determine what may be occurring with your account, please contact technical support at 1-800-956-4442 so they can look into this. -Ian"", 'modified': '2023-06-05T00:32:33Z'}","I wish companies would consider not rolling out an update to their apps every month just to release an update.  I can only imagine the cost of these pointless updates.  The most recent one removed functionality for their Bill Pay feature.  We used to be able to enter payment amounts for all our bills before confirming payment then issuing the “pay now” once for all the bills.  The advantage of this was you could get a running total of all the bills you were paying and then note all the confirmation numbers for each bill at once, OR print the confirmation showing these bills all having been paid at once.  Now you must pay and confirm each bill one at a time.  Takes much longer.  Also, the confirmation screen showing the confirmation number and date paid shows most of the pertinent information in teeny tiny print.  Like 10x smaller than the amount paid.  Huge amount of white space (and I’m on an iPad mini); no need to make the font so tiny.  This was supposed to be a new and improved Wells Fargo app for the iPad, but it’s a bust as far as I can tell. Good news is these guys update their app every friggin month, so maybe someone will read this and make some “continuous improvements”. (PS, app feedback within your app would avoid a user having to resort to writing a public review in the App Store).",2,True,SunDevil86,Recent Changes Removed Functionality,i wish companies would consider not rolling out an update to their apps every month just to release an update  i can only imagine the cost of these pointless updates  the most recent one removed functionality for their bill pay feature  we used to be able to enter payment amounts for all our bills before confirming payment then issuing the pay now once for all the bills  the advantage of this was you could get a running total of all the bills you were paying and then note all the confirmation numbers for each bill at once or print the confirmation showing these bills all having been paid at once  now you must pay and confirm each bill one at a time  takes much longer  also the confirmation screen showing the confirmation number and date paid shows most of the pertinent information in teeny tiny print  like 10x smaller than the amount paid  huge amount of white space and im on an ipad mini no need to make the font so tiny  this was supposed to be a new and improved wells fargo app for the ipad but its a bust as far as i can tell good news is these guys update their app every friggin month so maybe someone will read this and make some continuous improvements ps app feedback within your app would avoid a user having to resort to writing a public review in the app store
10,10,2023-03-22 14:35:55,"{'id': 35441132, 'body': ""We're sorry to hear that and would like to try and help. Please email us with details (phone number, link to this public comment and your reviewer name) at appstorefeedback@wellsfargo.com. Do not share anything private when emailing us, such as account numbers. -Ian"", 'modified': '2023-03-17T11:20:44Z'}","After 8 yrs of membership, I’m closing my acct. Any transaction I’ve ever made with or through Wells Fargo has been debit, not credit, with my own funds I deposit into the bank. During the holidays last yr, I made a quick, impulse transaction but well needed in that moment, with a service provider. I quickly cancelled the transaction with Wells shortly after & did not use the service I purchased. After explaining the situation to the bank, My account was credited that amount back. But months later, I was told I owed Wells the money back. My acct went into the negatives until I submitted proof that I actually didn’t use the service. After I emailed the documents, the claims rep confirmed & promised me that the claim was settled & complete for the final time. That was wrong information bc I received yet another letter informing me the credit I was given would be deducted from my acct. Bc of the miscommunication, lies, & sketchy-ness, I am closing the acct. the charge back the merchant received was bc I didn’t use their service, and the money Wells “paid” them came from my acct as a debit, not credit, so I’m not sure why this bank thinks I owe them or anyone else anything.
UPDATE: I’m currently battling them to reverse this claim but they’re not budging & neither am I. So I asked can they clear the balance based on their involvement & gain in slavery of my ancestors. Looking forward to that call back.",1,True,Graphixx Girl,Closing Account,"after 8 yrs of membership im closing my acct any transaction ive ever made with or through wells fargo has been debit not credit with my own funds i deposit into the bank during the holidays last yr i made a quick impulse transaction but well needed in that moment with a service provider i quickly cancelled the transaction with wells shortly after  did not use the service i purchased after explaining the situation to the bank my account was credited that amount back but months later i was told i owed wells the money back my acct went into the negatives until i submitted proof that i actually didnt use the service after i emailed the documents the claims rep confirmed  promised me that the claim was settled  complete for the final time that was wrong information bc i received yet another letter informing me the credit i was given would be deducted from my acct bc of the miscommunication lies  sketchyness i am closing the acct the charge back the merchant received was bc i didnt use their service and the money wells paid them came from my acct as a debit not credit so im not sure why this bank thinks i owe them or anyone else anything
update im currently battling them to reverse this claim but theyre not budging  neither am i so i asked can they clear the balance based on their involvement  gain in slavery of my ancestors looking forward to that call back"
11,11,2021-12-31 17:24:14,"{'id': 27211568, 'body': 'This sounds like something a banker may need to review regarding your account. Please give them a call at 1-800-869-3557 so they can authenticate you and look into this. -Anthony', 'modified': '2022-01-03T19:14:12Z'}",I have had my ups and downs with Wells Fargo over the many years I have banked there but this is the last straw. What a horrible bank with even more horrible employees. Okay I think that my most recent experience was no one’s fault but they messed things up so poorly that I cannot keep my money there any longer. I needed a new debit card and so I ordered it and now it’s been way over the amount of time and I still have no card. They don’t give temporary cards anymore. And I am in the process of selling my house and getting a new house. The fact that I can’t pay my appraisal has slowed down the process to the point where I am about to be homeless. And what is amazing is that they put me in this position and they couldn’t care less. I ordered the new card and that was supposed to have been mailed out nearly 2 weeks ago. Still don’t have it. I could pay the appraisal if they were able to provide the payment information but no that’s asking too much. They don’t even act like they care and I am certain they don’t. The appraisal can only be paid with Visa and my only Visa is lost in transit. But WF doesn’t care.,5,False,Paul Lisker,Leaving this bank,i have had my ups and downs with wells fargo over the many years i have banked there but this is the last straw what a horrible bank with even more horrible employees okay i think that my most recent experience was no ones fault but they messed things up so poorly that i cannot keep my money there any longer i needed a new debit card and so i ordered it and now its been way over the amount of time and i still have no card they dont give temporary cards anymore and i am in the process of selling my house and getting a new house the fact that i cant pay my appraisal has slowed down the process to the point where i am about to be homeless and what is amazing is that they put me in this position and they couldnt care less i ordered the new card and that was supposed to have been mailed out nearly 2 weeks ago still dont have it i could pay the appraisal if they were able to provide the payment information but no thats asking too much they dont even act like they care and i am certain they dont the appraisal can only be paid with visa and my only visa is lost in transit but wf doesnt care
12,12,2024-08-11 23:03:31,,"I was at US Bank for MANY, many years up until a bit more then a year ago. I stayed with them for so long because of there name; total patriot here. Anyway, US Bank got slowly worse and worse, first there debit cards were poorly made which forced me to request a replacement at least four times in one year. Then US Bank locked me out of my account simply because I stayed for two days at a Holiday Inn just five miles from my address AND I was told rather forcefully that I had NO options to reduce or cancel the security fraud settings. Then there branch drive through ATM’s were falling apart making me find and travel to other branches. And other problems as well. I have had NO problems since moving to Wells Fargo… ATM’s are TOP of the Line, much better design. Branches are spotless and almost no lines 99 percent of the time. AND… tellers make a special effort to be EXTRA friendly. It means a LOT when employees are SUPER friendly. There app works flawlessly. I have NOT had ONE single problem since switching to Wells Fargo and I HIGHLY recommend Wells Fargo to everyone that uses banks for their financial transactions. (Smile)",5,False,tekman2000,Finally found the BEST bank,i was at us bank for many many years up until a bit more then a year ago i stayed with them for so long because of there name total patriot here anyway us bank got slowly worse and worse first there debit cards were poorly made which forced me to request a replacement at least four times in one year then us bank locked me out of my account simply because i stayed for two days at a holiday inn just five miles from my address and i was told rather forcefully that i had no options to reduce or cancel the security fraud settings then there branch drive through atms were falling apart making me find and travel to other branches and other problems as well i have had no problems since moving to wells fargo atms are top of the line much better design branches are spotless and almost no lines 99 percent of the time and tellers make a special effort to be extra friendly it means a lot when employees are super friendly there app works flawlessly i have not had one single problem since switching to wells fargo and i highly recommend wells fargo to everyone that uses banks for their financial transactions smile
